date,title,link
2024-11-20,AMPPZ 2024,https://www.mimuw.edu.pl/pl/aktualnosci/amppz-2024
2024-11-14,Karol Żebrowski – publiczna obrona rozprawy doktorskiej,https://www.mimuw.edu.pl/pl/aktualnosci/karol-zebrowski-publiczna-obrona-pracy-doktorskiej
2024-11-12,Konkurs na stanowisko adiunkta  w projekcie „Granice automatycznej analizy systemów współbieżnych”,https://www.mimuw.edu.pl/media/uploads/info-files/ogloszenie-o-konkursie_itXbYxM.pdf
2024-11-11,Nagroda im. W. Lipskiego dla Adama Karczmarza,
2024-11-07,"Konkurs na stypendium naukowe “Jednorodność i generyczność struktur metrycznych: grup, układów dynamicznych, przestrzeni Banacha i algebr C*”",https://www.mimuw.edu.pl/media/uploads/info-files/ogloszenie-o-konkursie_6XefZuo.pdf
2024-11-06,Nagroda Specjalna Innowatora Wprost dla Piotra Sankowskiego,
2024-11-05,Smutne wiadomości,https://www.mimuw.edu.pl/pl/aktualnosci/smutne-wiadomosci-wiktor-bartol
2024-11-05,Konkurs na stypendium naukowe dla magistranta w grancie NCN „Elliptic geometric variational problems”,https://www.mimuw.edu.pl/pl/aktualnosci/konkurs-na-stypendium-naukowe-dla-magistranta-w-grancie-ncn-elliptic-geometric-variational-problems
2024-11-05,Rozstrzygnięcie konkursu na stypendium w projekcie NCN SONATA pt.: ”Struktura i algorytmy dla klas grafów definiowanych przez własności zamknięte na transdukcje”,
2024-11-05,Rozstrzygnięcie konkursu na dwa stypendia w projekcie NCN SONATA BIS pt.: ”Struktury geometryczne tensorów”,
2024-11-04,"Delta finalistką konkursu ""Popularyzator Nauki""",https://www.deltami.edu.pl/
2024-11-04,Piotr Różański – publiczna obrona rozprawy doktorskiej,https://www.mimuw.edu.pl/pl/aktualnosci/piotr-rozanski-publiczna-obrona-pracy-doktorskiej
2024-11-04,Kolokwium Wydziału MIMUW,
2024-10-30,"Rozstrzygnięcie konkursu na stypendium naukowe dla magistrantów w grancie NCN SONATA ""Integracyjna analiza danych genomicznych z pojedynczych komórek""",
2024-10-24,Tomasz Lizurej – publiczna obrona rozprawy doktorskiej,https://www.mimuw.edu.pl/pl/aktualnosci/tomasz-lizurej-publiczna-obrona-pracy-doktorskiej
